('owner', 'vfx-1', '0.000048', '0.000205', '0.000000', '0.000247', '0.000000', '0.007258', '0.007348')
('owner', 'vfx-2', '0.000035', '0.000878', '0.000000', '0.000957', '0.000000', '0.006566', '0.006611')
('owner', 'vfx-3', '0.000026', '0.000125', '0.000000', '0.000163', '0.000000', '0.005789', '0.006113')
('owner', 'color', '0.000033', '0.000161', '0.000000', '0.000203', '0.000000', '0.006667', '0.007044')
('owner', 'sound', '0.000027', '0.000134', '0.000000', '0.000173', '0.000000', '0.097441', '0.097505')
('owner', 'hdr', '0.000034', '0.000165', '0.000000', '0.000210', '0.000000', '0.102426', '0.102500')
('vfx-1', 'owner', '0.000028', '0.000196', '0.000000', '0.000235', '0.000000', '0.006554', '0.006641')
('vfx-1', 'vfx-2', '0.000030', '0.000146', '0.000000', '0.000189', '0.000000', '0.004214', '0.004260')
('vfx-1', 'vfx-3', '0.000029', '0.000195', '0.000000', '0.000242', '0.000000', '0.004773', '0.004828')
('vfx-1', 'color', '0.000034', '0.000169', '0.000000', '0.000214', '0.000000', '0.006181', '0.006234')
('vfx-1', 'sound', '0.000026', '0.000148', '0.000000', '0.000190', '0.000000', '0.096551', '0.096623')
('vfx-1', 'hdr', '0.000035', '0.000189', '0.000000', '0.000234', '0.000000', '0.100116', '0.100190')
('vfx-2', 'owner', '0.000035', '0.000221', '0.000000', '0.000263', '0.000000', '0.006220', '0.006264')
('vfx-2', 'vfx-1', '0.000028', '0.000152', '0.000000', '0.000196', '0.000000', '0.004828', '0.004883')
('vfx-2', 'vfx-3', '0.000026', '0.000145', '0.000000', '0.000187', '0.000000', '0.007308', '0.007369')
('vfx-2', 'color', '0.000027', '0.000148', '0.000000', '0.000189', '0.000000', '0.005386', '0.005439')
('vfx-2', 'sound', '0.000035', '0.000181', '0.000000', '0.000224', '0.000000', '0.099635', '0.099910')
('vfx-2', 'hdr', '0.000025', '0.000154', '0.000000', '0.000196', '0.000000', '0.096026', '0.096105')
('vfx-3', 'owner', '0.000026', '0.000134', '0.000000', '0.000174', '0.000000', '0.006442', '0.006484')
('vfx-3', 'vfx-1', '0.000027', '0.000154', '0.000000', '0.000197', '0.000000', '0.005033', '0.005085')
('vfx-3', 'vfx-2', '0.000029', '0.000149', '0.000000', '0.000190', '0.000000', '0.004259', '0.004319')
('vfx-3', 'color', '0.000027', '0.000153', '0.000000', '0.000197', '0.000000', '0.005501', '0.005545')
('vfx-3', 'sound', '0.000038', '0.000197', '0.000000', '0.000244', '0.000000', '0.097330', '0.097404')
('vfx-3', 'hdr', '0.000026', '0.000134', '0.000000', '0.000181', '0.000000', '0.100222', '0.100311')
('color', 'owner', '0.000032', '0.000160', '0.000000', '0.000198', '0.000000', '0.006045', '0.006416')
('color', 'vfx-1', '0.000054', '0.000218', '0.000000', '0.000284', '0.000000', '0.007324', '0.007637')
('color', 'vfx-2', '0.000045', '0.000140', '0.000000', '0.000179', '0.000000', '0.005391', '0.005424')
('color', 'vfx-3', '0.000025', '0.000126', '0.000000', '0.000163', '0.000000', '0.005486', '0.005521')
('color', 'sound', '0.000033', '0.000149', '0.000000', '0.000190', '0.000000', '0.097393', '0.097440')
('color', 'hdr', '0.000025', '0.000131', '0.000000', '0.000170', '0.000000', '0.095530', '0.095778')
('sound', 'owner', '0.000027', '0.000143', '0.000000', '0.000182', '0.000000', '0.095806', '0.095869')
('sound', 'vfx-1', '0.000034', '0.000172', '0.000000', '0.000213', '0.000000', '0.099042', '0.099125')
('sound', 'vfx-2', '0.000026', '0.000148', '0.000000', '0.000188', '0.000000', '0.099330', '0.099394')
('sound', 'vfx-3', '0.000035', '0.000180', '0.000000', '0.000226', '0.000000', '0.099919', '0.099983')
('sound', 'color', '0.000027', '0.000127', '0.000000', '0.000165', '0.000000', '0.102676', '0.103021')
('sound', 'hdr', '0.000027', '0.000168', '0.000000', '0.000217', '0.000000', '0.006836', '0.006879')
('hdr', 'owner', '0.000060', '0.000238', '0.000000', '0.000320', '0.000000', '0.095507', '0.095582')
('hdr', 'vfx-1', '0.000030', '0.000828', '0.000000', '0.000871', '0.000000', '0.100091', '0.100283')
('hdr', 'vfx-2', '0.000026', '0.000141', '0.000000', '0.000201', '0.000000', '0.096107', '0.096226')
('hdr', 'vfx-3', '0.000026', '0.000182', '0.000000', '0.000231', '0.000000', '0.100229', '0.100298')
('hdr', 'color', '0.000036', '0.000178', '0.000000', '0.000221', '0.000000', '0.099378', '0.099456')
('hdr', 'sound', '0.000032', '0.000156', '0.000000', '0.000197', '0.000000', '0.006110', '0.006153')
('owner', 'vfx-1', '0.000029', '0.000165', '0.000000', '0.000207', '0.000000', '0.005418', '0.005462')
('owner', 'vfx-2', '0.000030', '0.000169', '0.000000', '0.000212', '0.000000', '0.005727', '0.005778')
('owner', 'vfx-3', '0.000032', '0.000143', '0.000000', '0.000183', '0.000000', '0.006252', '0.006311')
('owner', 'color', '0.000035', '0.000151', '0.000000', '0.000195', '0.000000', '0.005948', '0.005994')
('owner', 'sound', '0.000026', '0.000153', '0.000000', '0.000195', '0.000000', '0.096550', '0.096971')
('owner', 'hdr', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.052679', '0.052744')
('vfx-1', 'owner', '0.000028', '0.000143', '0.000000', '0.000230', '0.000000', '0.005681', '0.005731')
('vfx-1', 'vfx-2', '0.000035', '0.000177', '0.000000', '0.000221', '0.000000', '0.006244', '0.006296')
('vfx-1', 'vfx-3', '0.000026', '0.000139', '0.000000', '0.000181', '0.000000', '0.004046', '0.004093')
('vfx-1', 'color', '0.000026', '0.000207', '0.000000', '0.000263', '0.000000', '0.005473', '0.005525')
('vfx-1', 'sound', '0.000026', '0.000143', '0.000000', '0.000182', '0.000000', '0.099263', '0.099325')
('vfx-1', 'hdr', '0.000025', '0.000144', '0.000000', '0.000182', '0.000000', '0.096009', '0.096072')
('vfx-2', 'owner', '0.000027', '0.000167', '0.000000', '0.000211', '0.000000', '0.006247', '0.006309')
('vfx-2', 'vfx-1', '0.000044', '0.000181', '0.000000', '0.000219', '0.000000', '0.005622', '0.005673')
('vfx-2', 'vfx-3', '0.000026', '0.000144', '0.000000', '0.000183', '0.000000', '0.003936', '0.003980')
('vfx-2', 'color', '0.000035', '0.000180', '0.000000', '0.000223', '0.000000', '0.007420', '0.007717')
('vfx-2', 'sound', '0.000030', '0.000145', '0.000000', '0.000187', '0.000000', '0.052897', '0.053012')
