('owner', 'vfx-1', '0.000033', '0.000154', '0.000000', '0.000200', '0.000000', '0.022669', '0.023885')
('owner', 'vfx-2', '0.000029', '0.000149', '0.000000', '0.000192', '0.000000', '0.013193', '0.013801')
('owner', 'vfx-3', '0.000035', '0.000211', '0.000000', '0.000256', '0.000000', '0.018307', '0.018386')
('owner', 'color', '0.000029', '0.000148', '0.000000', '0.000189', '0.000000', '0.023882', '0.023946')
('owner', 'sound', '0.000030', '0.000131', '0.000000', '0.000172', '0.000000', '0.107513', '0.107574')
('owner', 'hdr', '0.000034', '0.000179', '0.000000', '0.000222', '0.000000', '0.107685', '0.108176')
('vfx-1', 'owner', '0.000028', '0.000137', '0.000000', '0.000199', '0.000000', '0.012428', '0.012495')
('vfx-1', 'vfx-2', '0.000025', '0.000141', '0.000000', '0.000183', '0.000000', '0.007872', '0.007924')
('vfx-1', 'vfx-3', '0.000026', '0.000139', '0.000000', '0.000180', '0.000000', '0.006951', '0.007000')
('vfx-1', 'color', '0.000026', '0.000153', '0.000000', '0.000193', '0.000000', '0.013943', '0.014020')
('vfx-1', 'sound', '0.000039', '0.000190', '0.000000', '0.000246', '0.000000', '0.102432', '0.102501')
('vfx-1', 'hdr', '0.000035', '0.000172', '0.000000', '0.000216', '0.000000', '0.098140', '0.098202')
('vfx-2', 'owner', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.008678', '0.008737')
('vfx-2', 'vfx-1', '0.000032', '0.000210', '0.000000', '0.000258', '0.000000', '0.013956', '0.014017')
('vfx-2', 'vfx-3', '0.000027', '0.000157', '0.000000', '0.000201', '0.000000', '0.007522', '0.007618')
('vfx-2', 'color', '0.000026', '0.000144', '0.000000', '0.000186', '0.000000', '0.011521', '0.011575')
('vfx-2', 'sound', '0.000025', '0.000136', '0.000000', '0.000175', '0.000000', '0.098982', '0.099056')
('vfx-2', 'hdr', '0.000027', '0.000152', '0.000000', '0.000193', '0.000000', '0.106518', '0.106628')
('vfx-3', 'owner', '0.000026', '0.000136', '0.000000', '0.000175', '0.000000', '0.008492', '0.008574')
('vfx-3', 'vfx-1', '0.000033', '0.000169', '0.000000', '0.000212', '0.000000', '0.007641', '0.007692')
('vfx-3', 'vfx-2', '0.000031', '0.000188', '0.000000', '0.000232', '0.000000', '0.006903', '0.006946')
('vfx-3', 'color', '0.000026', '0.000134', '0.000000', '0.000173', '0.000000', '0.015396', '0.015446')
('vfx-3', 'sound', '0.000025', '0.000143', '0.000000', '0.000207', '0.000000', '0.099898', '0.099966')
('vfx-3', 'hdr', '0.000026', '0.000143', '0.000000', '0.000185', '0.000000', '0.109183', '0.109248')
('color', 'owner', '0.000037', '0.000230', '0.000000', '0.000280', '0.000000', '0.009493', '0.009596')
('color', 'vfx-1', '0.000042', '0.000227', '0.000000', '0.000276', '0.000000', '0.011714', '0.011808')
('color', 'vfx-2', '0.000044', '0.000267', '0.000000', '0.000321', '0.000000', '0.012226', '0.012340')
('color', 'vfx-3', '0.000050', '0.000290', '0.000000', '0.000366', '0.000000', '0.012132', '0.012254')
('color', 'sound', '0.000054', '0.000273', '0.000000', '0.000326', '0.000000', '0.099762', '0.099865')
('owner', 'vfx-1', '0.000035', '0.000156', '0.000000', '0.000197', '0.000000', '0.008207', '0.008256')
('owner', 'vfx-2', '0.000027', '0.000143', '0.000000', '0.000184', '0.000000', '0.008258', '0.008308')
('owner', 'vfx-3', '0.000028', '0.000134', '0.000000', '0.000173', '0.000000', '0.009735', '0.009795')
('owner', 'color', '0.000060', '0.000216', '0.000000', '0.000262', '0.000000', '0.011654', '0.011732')
('owner', 'sound', '0.000027', '0.000143', '0.000000', '0.000181', '0.000000', '0.053220', '0.053287')
('owner', 'hdr', '0.000025', '0.000140', '0.000000', '0.000180', '0.000000', '0.101532', '0.101929')
('vfx-1', 'owner', '0.000040', '0.000201', '0.000000', '0.000242', '0.000000', '0.012186', '0.012263')
('vfx-1', 'vfx-2', '0.000037', '0.000172', '0.000000', '0.000215', '0.000000', '0.008816', '0.008872')
('vfx-1', 'vfx-3', '0.000034', '0.000144', '0.000000', '0.000182', '0.000000', '0.006421', '0.006467')
('vfx-1', 'color', '0.000026', '0.000146', '0.000000', '0.000187', '0.000000', '0.011737', '0.011790')
('vfx-1', 'sound', '0.000035', '0.000159', '0.000000', '0.000193', '0.000000', '0.055733', '0.055803')
('vfx-1', 'hdr', '0.000032', '0.000167', '0.000000', '0.000207', '0.000000', '0.052750', '0.052817')
('vfx-2', 'owner', '0.000033', '0.000169', '0.000000', '0.000212', '0.000000', '0.008474', '0.008518')
('vfx-2', 'vfx-1', '0.000027', '0.000146', '0.000000', '0.000188', '0.000000', '0.007071', '0.007123')
('vfx-2', 'vfx-3', '0.000027', '0.000141', '0.000000', '0.000182', '0.000000', '0.006207', '0.006295')
('vfx-2', 'color', '0.000026', '0.000151', '0.000000', '0.000191', '0.000000', '0.012220', '0.012283')
('vfx-2', 'sound', '0.000061', '0.000202', '0.000000', '0.000248', '0.000000', '0.055568', '0.055628')
