('owner', 'vfx-1', '0.000046', '0.000208', '0.000000', '0.000281', '0.000000', '0.024228', '0.024319')
('owner', 'vfx-2', '0.000028', '0.000152', '0.000000', '0.000194', '0.000000', '0.021890', '0.021959')
('owner', 'vfx-3', '0.000025', '0.000142', '0.000000', '0.000182', '0.000000', '0.019616', '0.019717')
('owner', 'color', '0.000035', '0.000182', '0.000000', '0.000225', '0.000000', '0.017799', '0.017859')
('owner', 'sound', '0.000032', '0.000217', '0.000000', '0.000260', '0.000000', '0.106236', '0.106635')
('owner', 'hdr', '0.000033', '0.000186', '0.000000', '0.000232', '0.000000', '0.107365', '0.107687')
('vfx-1', 'owner', '0.000038', '0.000165', '0.000000', '0.000216', '0.000000', '0.011619', '0.012141')
('vfx-1', 'vfx-2', '0.000032', '0.000176', '0.000000', '0.000214', '0.000000', '0.009162', '0.009234')
('vfx-1', 'vfx-3', '0.000028', '0.000149', '0.000000', '0.000189', '0.000000', '0.007828', '0.007889')
('vfx-1', 'color', '0.000027', '0.000143', '0.000000', '0.000182', '0.000000', '0.009642', '0.009719')
('vfx-1', 'sound', '0.000030', '0.000145', '0.000000', '0.000186', '0.000000', '0.102199', '0.102298')
('vfx-1', 'hdr', '0.000026', '0.000139', '0.000000', '0.000182', '0.000000', '0.103848', '0.103916')
('vfx-2', 'owner', '0.000036', '0.000187', '0.000000', '0.000232', '0.000000', '0.009219', '0.009284')
('vfx-2', 'vfx-1', '0.000035', '0.000182', '0.000000', '0.000230', '0.000000', '0.010876', '0.010962')
('vfx-2', 'vfx-3', '0.000035', '0.000169', '0.000000', '0.000210', '0.000000', '0.008269', '0.008322')
('vfx-2', 'color', '0.000026', '0.000139', '0.000000', '0.000179', '0.000000', '0.008189', '0.008262')
('vfx-2', 'sound', '0.000025', '0.000175', '0.000000', '0.000218', '0.000000', '0.098090', '0.098169')
('vfx-2', 'hdr', '0.000036', '0.000221', '0.000000', '0.000264', '0.000000', '0.098525', '0.098581')
('vfx-3', 'owner', '0.000026', '0.000151', '0.000000', '0.000193', '0.000000', '0.008749', '0.008883')
('vfx-3', 'vfx-1', '0.000035', '0.000195', '0.000000', '0.000238', '0.000000', '0.009480', '0.009551')
('vfx-3', 'vfx-2', '0.000058', '0.000186', '0.000000', '0.000230', '0.000000', '0.007766', '0.007841')
('vfx-3', 'color', '0.000029', '0.000174', '0.000000', '0.000214', '0.000000', '0.008629', '0.008701')
('vfx-3', 'sound', '0.000031', '0.000170', '0.000000', '0.000212', '0.000000', '0.106831', '0.107428')
('vfx-3', 'hdr', '0.000032', '0.000170', '0.000000', '0.000211', '0.000000', '0.100009', '0.100069')
('color', 'owner', '0.000029', '0.000153', '0.000000', '0.000195', '0.000000', '0.011129', '0.011201')
('color', 'vfx-1', '0.000029', '0.000152', '0.000000', '0.000194', '0.000000', '0.011276', '0.011345')
('color', 'vfx-2', '0.000027', '0.000155', '0.000000', '0.000197', '0.000000', '0.010673', '0.010743')
('color', 'vfx-3', '0.000038', '0.000190', '0.000000', '0.000232', '0.000000', '0.011651', '0.011726')
('color', 'sound', '0.000035', '0.000191', '0.000000', '0.000234', '0.000000', '0.101385', '0.101462')
('color', 'hdr', '0.000032', '0.000178', '0.000000', '0.000219', '0.000000', '0.098212', '0.098285')
('sound', 'owner', '0.000030', '0.000143', '0.000000', '0.000184', '0.000000', '0.102152', '0.102217')
('sound', 'vfx-1', '0.000025', '0.000138', '0.000000', '0.000175', '0.000000', '0.102476', '0.102603')
('sound', 'vfx-2', '0.000051', '0.000163', '0.000000', '0.000201', '0.000000', '0.102434', '0.102520')
('sound', 'vfx-3', '0.000026', '0.000136', '0.000000', '0.000175', '0.000000', '0.098652', '0.098715')
('sound', 'color', '0.000025', '0.000119', '0.000000', '0.000153', '0.000000', '0.103618', '0.104093')
