('owner', 'vfx-1', '0.000030', '0.000140', '0.000000', '0.000180', '0.000000', '0.018031', '0.018098')
('owner', 'vfx-2', '0.000034', '0.000179', '0.000000', '0.000229', '0.000000', '0.013159', '0.013182')
('owner', 'vfx-3', '0.000027', '0.000140', '0.000000', '0.000181', '0.000000', '0.015613', '0.015635')
('owner', 'color', '0.000026', '0.000136', '0.000000', '0.000175', '0.000000', '0.016890', '0.016910')
('owner', 'sound', '0.000026', '0.000139', '0.000000', '0.000178', '0.000000', '0.107818', '0.107848')
('owner', 'hdr', '0.000036', '0.000172', '0.000000', '0.000217', '0.000000', '0.104213', '0.104238')
('vfx-1', 'owner', '0.000028', '0.000176', '0.000000', '0.000221', '0.000000', '0.014268', '0.014286')
('vfx-1', 'vfx-2', '0.000026', '0.000172', '0.000000', '0.000215', '0.000000', '0.013567', '0.013614')
('vfx-1', 'vfx-3', '0.000026', '0.000136', '0.000000', '0.000177', '0.000000', '0.013485', '0.013534')
('vfx-1', 'color', '0.000034', '0.000230', '0.000000', '0.000274', '0.000000', '0.018580', '0.018601')
('vfx-1', 'sound', '0.000033', '0.000183', '0.000000', '0.000225', '0.000000', '0.101165', '0.101186')
('vfx-1', 'hdr', '0.000034', '0.000180', '0.000000', '0.000221', '0.000000', '0.103477', '0.103499')
('vfx-2', 'owner', '0.000029', '0.000138', '0.000000', '0.000178', '0.000000', '0.016568', '0.016587')
('vfx-2', 'vfx-1', '0.000025', '0.000137', '0.000000', '0.000178', '0.000000', '0.009566', '0.009586')
('vfx-2', 'vfx-3', '0.000037', '0.000428', '0.000000', '0.001321', '0.000000', '0.014261', '0.014283')
('vfx-2', 'color', '0.000026', '0.000149', '0.000000', '0.000215', '0.000000', '0.022539', '0.022623')
('vfx-2', 'sound', '0.000027', '0.000147', '0.000000', '0.000190', '0.000000', '0.104190', '0.104213')
('vfx-2', 'hdr', '0.000027', '0.000139', '0.000000', '0.000182', '0.000000', '0.104689', '0.104715')
('vfx-3', 'owner', '0.000025', '0.000131', '0.000000', '0.000171', '0.000000', '0.011411', '0.011432')
('vfx-3', 'vfx-1', '0.000026', '0.000140', '0.000000', '0.000181', '0.000000', '0.009344', '0.009368')
('vfx-3', 'vfx-2', '0.000029', '0.000155', '0.000000', '0.000205', '0.000000', '0.012297', '0.012336')
('vfx-3', 'color', '0.000027', '0.000147', '0.000000', '0.000193', '0.000000', '0.011878', '0.011899')
('vfx-3', 'sound', '0.000027', '0.000161', '0.000000', '0.000206', '0.000000', '0.110636', '0.110726')
('vfx-3', 'hdr', '0.000026', '0.000220', '0.000000', '0.000264', '0.000000', '0.105458', '0.105488')
('color', 'owner', '0.000041', '0.000171', '0.000000', '0.000219', '0.000000', '0.012050', '0.012085')
('color', 'vfx-1', '0.000031', '0.000185', '0.000000', '0.000233', '0.000000', '0.015082', '0.015110')
('color', 'vfx-2', '0.000035', '0.000199', '0.000000', '0.000245', '0.000000', '0.014106', '0.014132')
('color', 'vfx-3', '0.000031', '0.000148', '0.000000', '0.000187', '0.000000', '0.011036', '0.011061')
('color', 'sound', '0.000063', '0.000279', '0.000000', '0.000331', '0.000000', '0.105324', '0.105363')
('color', 'hdr', '0.000028', '0.000207', '0.000000', '0.000253', '0.000000', '0.107596', '0.107622')
('sound', 'owner', '0.000027', '0.000146', '0.000000', '0.000185', '0.000000', '0.107934', '0.107958')
('sound', 'vfx-1', '0.000034', '0.000154', '0.000000', '0.000197', '0.000000', '0.107304', '0.107330')
('sound', 'vfx-2', '0.000030', '0.000148', '0.000000', '0.000188', '0.000000', '0.100681', '0.100703')
('sound', 'vfx-3', '0.000028', '0.000140', '0.000000', '0.000180', '0.000000', '0.100175', '0.100199')
('sound', 'color', '0.000034', '0.000187', '0.000000', '0.000233', '0.000000', '0.104547', '0.104575')
('sound', 'hdr', '0.000027', '0.000153', '0.000000', '0.000205', '0.000000', '0.011230', '0.011254')
('hdr', 'owner', '0.000072', '0.000186', '0.000000', '0.000224', '0.000000', '0.110652', '0.110722')
('hdr', 'vfx-1', '0.000033', '0.000177', '0.000000', '0.000219', '0.000000', '0.106872', '0.106903')
('hdr', 'vfx-2', '0.000036', '0.000185', '0.000000', '0.000229', '0.000000', '0.101203', '0.101234')
('hdr', 'vfx-3', '0.000034', '0.000181', '0.000000', '0.000230', '0.000000', '0.107113', '0.107140')
('hdr', 'color', '0.000031', '0.000173', '0.000000', '0.000217', '0.000000', '0.102238', '0.102262')
('hdr', 'sound', '0.000028', '0.000164', '0.000000', '0.000206', '0.000000', '0.010967', '0.010988')
('owner', 'vfx-1', '0.000028', '0.000146', '0.000000', '0.000186', '0.000000', '0.013344', '0.013406')
('owner', 'vfx-2', '0.000026', '0.000139', '0.000000', '0.000179', '0.000000', '0.010565', '0.010587')
('owner', 'vfx-3', '0.000033', '0.000179', '0.000000', '0.000221', '0.000000', '0.010225', '0.010252')
('owner', 'color', '0.000026', '0.000138', '0.000000', '0.000187', '0.000000', '0.012940', '0.012961')
('owner', 'sound', '0.000169', '0.000324', '0.000000', '0.000369', '0.000000', '0.108211', '0.108240')
('owner', 'hdr', '0.000033', '0.000174', '0.000000', '0.000218', '0.000000', '0.055739', '0.055765')
('vfx-1', 'owner', '0.000036', '0.000191', '0.000000', '0.000658', '0.000000', '0.012177', '0.012202')
('vfx-1', 'vfx-2', '0.000026', '0.000134', '0.000000', '0.000175', '0.000000', '0.016787', '0.016856')
('vfx-1', 'vfx-3', '0.000035', '0.000166', '0.000000', '0.000206', '0.000000', '0.019848', '0.019929')
('vfx-1', 'color', '0.000029', '0.000160', '0.000000', '0.000203', '0.000000', '0.016304', '0.016322')
('vfx-1', 'sound', '0.000027', '0.000156', '0.000000', '0.000198', '0.000000', '0.055355', '0.055381')
('vfx-1', 'hdr', '0.000026', '0.000134', '0.000000', '0.000173', '0.000000', '0.066347', '0.066373')
('vfx-2', 'owner', '0.000026', '0.000137', '0.000000', '0.000184', '0.000000', '0.014625', '0.014644')
('vfx-2', 'vfx-1', '0.000037', '0.000159', '0.000000', '0.000201', '0.000000', '0.010753', '0.010777')
('vfx-2', 'vfx-3', '0.000027', '0.000152', '0.000000', '0.000192', '0.000000', '0.015481', '0.015509')
('vfx-2', 'color', '0.000036', '0.000180', '0.000000', '0.000221', '0.000000', '0.018588', '0.018646')
('vfx-2', 'sound', '0.000026', '0.000147', '0.000000', '0.000189', '0.000000', '0.108102', '0.108128')
('vfx-2', 'hdr', '0.000027', '0.000214', '0.000000', '0.000269', '0.000000', '0.057579', '0.057609')
('vfx-3', 'owner', '0.000030', '0.000166', '0.000000', '0.000207', '0.000000', '0.011814', '0.011830')
('vfx-3', 'vfx-1', '0.000035', '0.000155', '0.000000', '0.000198', '0.000000', '0.008915', '0.008938')
('vfx-3', 'vfx-2', '0.000033', '0.000173', '0.000000', '0.000214', '0.000000', '0.013457', '0.013485')
('vfx-3', 'color', '0.000030', '0.000149', '0.000000', '0.000190', '0.000000', '0.011929', '0.011948')
('vfx-3', 'sound', '0.000025', '0.000134', '0.000000', '0.000173', '0.000000', '0.061048', '0.061112')
('vfx-3', 'hdr', '0.000032', '0.000140', '0.000000', '0.000179', '0.000000', '0.057039', '0.057068')
('color', 'owner', '0.000040', '0.000196', '0.000000', '0.000244', '0.000000', '0.011158', '0.011189')
('color', 'vfx-1', '0.000028', '0.000159', '0.000000', '0.000203', '0.000000', '0.012657', '0.012681')
('color', 'vfx-2', '0.000030', '0.000162', '0.000000', '0.000206', '0.000000', '0.011234', '0.011258')
('color', 'vfx-3', '0.000029', '0.000171', '0.000000', '0.000216', '0.000000', '0.011932', '0.011958')
('color', 'sound', '0.000065', '0.000236', '0.000000', '0.000287', '0.000000', '0.058990', '0.059069')
('color', 'hdr', '0.000042', '0.000233', '0.000000', '0.000281', '0.000000', '0.060719', '0.060773')
('sound', 'owner', '0.000027', '0.000175', '0.000000', '0.000216', '0.000000', '0.059250', '0.059276')
('sound', 'vfx-1', '0.000033', '0.000152', '0.000000', '0.000196', '0.000000', '0.104511', '0.104535')
('sound', 'vfx-2', '0.000030', '0.000146', '0.000000', '0.000186', '0.000000', '0.055523', '0.055564')
('sound', 'vfx-3', '0.000034', '0.000180', '0.000000', '0.000226', '0.000000', '0.100485', '0.100512')
('sound', 'color', '0.000029', '0.000141', '0.000000', '0.000181', '0.000000', '0.057233', '0.057260')
('sound', 'hdr', '0.000028', '0.000185', '0.000000', '0.000230', '0.000000', '0.011396', '0.011418')
('hdr', 'owner', '0.000058', '0.000180', '0.000000', '0.000215', '0.000000', '0.062379', '0.062444')
('hdr', 'vfx-1', '0.000026', '0.000142', '0.000000', '0.000181', '0.000000', '0.059357', '0.059383')
('hdr', 'vfx-2', '0.000033', '0.000210', '0.000000', '0.000249', '0.000000', '0.059196', '0.059223')
('hdr', 'vfx-3', '0.000033', '0.000174', '0.000000', '0.000229', '0.000000', '0.059761', '0.059785')
('hdr', 'color', '0.000028', '0.000162', '0.000000', '0.000226', '0.000000', '0.108283', '0.108314')
('hdr', 'sound', '0.000028', '0.000161', '0.000000', '0.000201', '0.000000', '0.010741', '0.010764')
('owner', 'vfx-1', '0.000027', '0.000142', '0.000000', '0.000183', '0.000000', '0.014319', '0.014386')
('owner', 'vfx-2', '0.000029', '0.000164', '0.000000', '0.000228', '0.000000', '0.010667', '0.010692')
('owner', 'vfx-3', '0.000036', '0.000138', '0.000000', '0.000177', '0.000000', '0.010002', '0.010031')
('owner', 'color', '0.000033', '0.000152', '0.000000', '0.000193', '0.000000', '0.010732', '0.010754')
('owner', 'sound', '0.000031', '0.000149', '0.000000', '0.000190', '0.000000', '0.061292', '0.061315')
('owner', 'hdr', '0.000026', '0.000142', '0.000000', '0.000183', '0.000000', '0.101075', '0.101105')
('vfx-1', 'owner', '0.000027', '0.000141', '0.000000', '0.000181', '0.000000', '0.010615', '0.010635')
