('owner', 'vfx-1', '0.000038', '0.000217', '0.000000', '0.000262', '0.000000', '0.013307', '0.013368')
('owner', 'vfx-2', '0.000027', '0.000154', '0.000000', '0.000194', '0.000000', '0.009450', '0.009473')
('owner', 'vfx-3', '0.000028', '0.000151', '0.000000', '0.000190', '0.000000', '0.010507', '0.010527')
('owner', 'color', '0.000034', '0.000463', '0.000000', '0.000552', '0.000000', '0.010980', '0.011001')
('owner', 'sound', '0.000034', '0.000191', '0.000000', '0.000239', '0.000000', '0.100525', '0.100550')
('owner', 'hdr', '0.000035', '0.000348', '0.000000', '0.000407', '0.000000', '0.101217', '0.101239')
('vfx-1', 'owner', '0.000029', '0.000155', '0.000000', '0.000197', '0.000000', '0.007786', '0.007807')
('vfx-1', 'vfx-2', '0.000032', '0.000172', '0.000000', '0.000213', '0.000000', '0.009645', '0.009696')
('vfx-1', 'vfx-3', '0.000029', '0.000150', '0.000000', '0.000191', '0.000000', '0.015749', '0.015842')
('vfx-1', 'color', '0.000034', '0.000210', '0.000000', '0.000258', '0.000000', '0.008767', '0.008794')
('vfx-1', 'sound', '0.000055', '0.000265', '0.000000', '0.000309', '0.000000', '0.095817', '0.095837')
('vfx-1', 'hdr', '0.000030', '0.000156', '0.000000', '0.000199', '0.000000', '0.096287', '0.096313')
('vfx-2', 'owner', '0.000033', '0.000166', '0.000000', '0.000207', '0.000000', '0.007018', '0.007046')
('vfx-2', 'vfx-1', '0.000027', '0.000162', '0.000000', '0.000205', '0.000000', '0.004452', '0.004476')
('vfx-2', 'vfx-3', '0.000053', '0.000172', '0.000000', '0.000211', '0.000000', '0.004528', '0.004548')
('vfx-2', 'color', '0.000029', '0.000154', '0.000000', '0.000195', '0.000000', '0.025247', '0.025311')
('vfx-2', 'sound', '0.000027', '0.000152', '0.000000', '0.000194', '0.000000', '0.099856', '0.099878')
('vfx-2', 'hdr', '0.000029', '0.000149', '0.000000', '0.000190', '0.000000', '0.103227', '0.103253')
('vfx-3', 'owner', '0.000029', '0.000175', '0.000000', '0.000218', '0.000000', '0.006486', '0.006508')
('vfx-3', 'vfx-1', '0.000034', '0.000178', '0.000000', '0.000219', '0.000000', '0.004413', '0.004438')
('vfx-3', 'vfx-2', '0.000032', '0.000148', '0.000000', '0.000189', '0.000000', '0.004002', '0.004024')
('vfx-3', 'color', '0.000030', '0.000143', '0.000000', '0.000184', '0.000000', '0.007285', '0.007328')
('vfx-3', 'sound', '0.000026', '0.000177', '0.000000', '0.000219', '0.000000', '0.095932', '0.095954')
('vfx-3', 'hdr', '0.000036', '0.000175', '0.000000', '0.000217', '0.000000', '0.095673', '0.095697')
('color', 'owner', '0.000065', '0.000370', '0.000000', '0.000435', '0.000000', '0.008460', '0.008519')
('color', 'vfx-1', '0.000053', '0.000324', '0.000000', '0.000384', '0.000000', '0.007773', '0.007850')
('color', 'vfx-2', '0.000077', '0.000483', '0.000000', '0.000562', '0.000000', '0.008718', '0.008784')
('color', 'vfx-3', '0.000051', '0.000296', '0.000000', '0.000360', '0.000000', '0.007962', '0.008009')
('color', 'sound', '0.000064', '0.000310', '0.000000', '0.000362', '0.000000', '0.098122', '0.098198')
('color', 'hdr', '0.000057', '0.000708', '0.000000', '0.000793', '0.000000', '0.110013', '0.110730')
('sound', 'owner', '0.000031', '0.000160', '0.000000', '0.000201', '0.000000', '0.103634', '0.104159')
('sound', 'vfx-1', '0.000062', '0.000180', '0.000000', '0.000220', '0.000000', '0.101451', '0.101473')
('sound', 'vfx-2', '0.000029', '0.000154', '0.000000', '0.000196', '0.000000', '0.095651', '0.095679')
('sound', 'vfx-3', '0.000026', '0.000134', '0.000000', '0.000175', '0.000000', '0.095567', '0.095589')
('sound', 'color', '0.000027', '0.000145', '0.000000', '0.000186', '0.000000', '0.100554', '0.100577')
('sound', 'hdr', '0.000028', '0.000169', '0.000000', '0.000211', '0.000000', '0.008238', '0.008258')
('hdr', 'owner', '0.000037', '0.000155', '0.000000', '0.000196', '0.000000', '0.102869', '0.102896')
('hdr', 'vfx-1', '0.000037', '0.000182', '0.000000', '0.000226', '0.000000', '0.103393', '0.103441')
('hdr', 'vfx-2', '0.000033', '0.000170', '0.000000', '0.000212', '0.000000', '0.102617', '0.102640')
('hdr', 'vfx-3', '0.000033', '0.000168', '0.000000', '0.000208', '0.000000', '0.099558', '0.099587')
