('owner', 'vfx-1', '0.000034', '0.000149', '0.000000', '0.000196', '0.000000', '0.011237', '0.011292')
('owner', 'vfx-2', '0.000024', '0.000135', '0.000000', '0.000175', '0.000000', '0.006947', '0.006967')
('owner', 'vfx-3', '0.000025', '0.000134', '0.000000', '0.000175', '0.000000', '0.006575', '0.006598')
('owner', 'color', '0.000048', '0.000186', '0.000000', '0.000230', '0.000000', '0.007804', '0.007820')
('owner', 'sound', '0.000040', '0.000149', '0.000000', '0.000193', '0.000000', '0.097764', '0.097800')
('owner', 'hdr', '0.000036', '0.000166', '0.000000', '0.000209', '0.000000', '0.096541', '0.096566')
('vfx-1', 'owner', '0.000028', '0.000131', '0.000000', '0.000169', '0.000000', '0.006734', '0.006757')
('vfx-1', 'vfx-2', '0.000024', '0.000129', '0.000000', '0.000168', '0.000000', '0.008552', '0.008613')
('vfx-1', 'vfx-3', '0.000042', '0.000185', '0.000000', '0.000235', '0.000000', '0.010440', '0.010499')
('vfx-1', 'color', '0.000025', '0.000127', '0.000000', '0.000168', '0.000000', '0.006269', '0.006286')
('vfx-1', 'sound', '0.000033', '0.000165', '0.000000', '0.000210', '0.000000', '0.096456', '0.096477')
('vfx-1', 'hdr', '0.000023', '0.000128', '0.000000', '0.000167', '0.000000', '0.095299', '0.095326')
('vfx-2', 'owner', '0.000024', '0.000126', '0.000000', '0.000164', '0.000000', '0.005497', '0.005515')
('vfx-2', 'vfx-1', '0.000037', '0.000151', '0.000000', '0.000193', '0.000000', '0.004670', '0.004690')
('vfx-2', 'vfx-3', '0.000036', '0.000157', '0.000000', '0.000198', '0.000000', '0.004994', '0.005031')
('vfx-2', 'color', '0.000047', '0.000148', '0.000000', '0.000187', '0.000000', '0.013901', '0.013951')
('vfx-2', 'sound', '0.000028', '0.000138', '0.000000', '0.000181', '0.000000', '0.099807', '0.099829')
('vfx-2', 'hdr', '0.000026', '0.000149', '0.000000', '0.000197', '0.000000', '0.099019', '0.099037')
('vfx-3', 'owner', '0.000035', '0.000175', '0.000000', '0.000221', '0.000000', '0.005438', '0.005457')
('vfx-3', 'vfx-1', '0.000035', '0.000174', '0.000000', '0.000218', '0.000000', '0.005430', '0.005450')
('vfx-3', 'vfx-2', '0.000032', '0.000168', '0.000000', '0.000214', '0.000000', '0.004538', '0.004558')
('vfx-3', 'color', '0.000033', '0.000159', '0.000000', '0.000203', '0.000000', '0.007093', '0.007122')
('vfx-3', 'sound', '0.000067', '0.000175', '0.000000', '0.000216', '0.000000', '0.104317', '0.104384')
('vfx-3', 'hdr', '0.000024', '0.000127', '0.000000', '0.000166', '0.000000', '0.098548', '0.098570')
('color', 'owner', '0.000038', '0.000167', '0.000000', '0.000210', '0.000000', '0.005518', '0.005539')
('color', 'vfx-1', '0.000029', '0.000149', '0.000000', '0.000189', '0.000000', '0.005363', '0.005384')
('color', 'vfx-2', '0.000027', '0.000128', '0.000000', '0.000167', '0.000000', '0.005571', '0.005596')
('color', 'vfx-3', '0.000029', '0.000143', '0.000000', '0.000186', '0.000000', '0.005518', '0.005540')
('color', 'sound', '0.000030', '0.000149', '0.000000', '0.000192', '0.000000', '0.103317', '0.103340')
('color', 'hdr', '0.000028', '0.000153', '0.000000', '0.000196', '0.000000', '0.097285', '0.097314')
('sound', 'owner', '0.000029', '0.000141', '0.000000', '0.000181', '0.000000', '0.100036', '0.100060')
('sound', 'vfx-1', '0.000027', '0.000137', '0.000000', '0.000177', '0.000000', '0.097273', '0.097294')
('sound', 'vfx-2', '0.000062', '0.000214', '0.000000', '0.000256', '0.000000', '0.100760', '0.100785')
('sound', 'vfx-3', '0.000028', '0.000134', '0.000000', '0.000173', '0.000000', '0.095771', '0.095798')
('sound', 'color', '0.000030', '0.000145', '0.000000', '0.000185', '0.000000', '0.105140', '0.105163')
('sound', 'hdr', '0.000034', '0.000192', '0.000000', '0.000238', '0.000000', '0.007325', '0.007348')
('hdr', 'owner', '0.000063', '0.000250', '0.000000', '0.000299', '0.000000', '0.103467', '0.103937')
('hdr', 'vfx-1', '0.000026', '0.000137', '0.000000', '0.000196', '0.000000', '0.102899', '0.102927')
('hdr', 'vfx-2', '0.000026', '0.000145', '0.000000', '0.000179', '0.000000', '0.095194', '0.095219')
('hdr', 'vfx-3', '0.000027', '0.000154', '0.000000', '0.000195', '0.000000', '0.098085', '0.098107')
('hdr', 'color', '0.000025', '0.000169', '0.000000', '0.000209', '0.000000', '0.095650', '0.095677')
('hdr', 'sound', '0.000030', '0.000152', '0.000000', '0.000193', '0.000000', '0.009550', '0.009568')
('owner', 'vfx-1', '0.000030', '0.000153', '0.000000', '0.000199', '0.000000', '0.008729', '0.009210')
('owner', 'vfx-2', '0.000029', '0.000145', '0.000000', '0.000186', '0.000000', '0.005347', '0.005365')
('owner', 'vfx-3', '0.000034', '0.000172', '0.000000', '0.000217', '0.000000', '0.005072', '0.005094')
('owner', 'color', '0.000031', '0.000150', '0.000000', '0.000189', '0.000000', '0.005818', '0.005837')
('owner', 'sound', '0.000026', '0.000165', '0.000000', '0.000208', '0.000000', '0.050354', '0.050378')
('owner', 'hdr', '0.000035', '0.000163', '0.000000', '0.000209', '0.000000', '0.055310', '0.055337')
('vfx-1', 'owner', '0.000050', '0.000187', '0.000000', '0.000237', '0.000000', '0.005158', '0.005176')
('vfx-1', 'vfx-2', '0.000025', '0.000133', '0.000000', '0.000175', '0.000000', '0.007211', '0.007257')
('vfx-1', 'vfx-3', '0.000024', '0.000129', '0.000000', '0.000170', '0.000000', '0.006376', '0.006442')
('vfx-1', 'color', '0.000035', '0.000177', '0.000000', '0.000224', '0.000000', '0.005928', '0.005946')
