('owner', '2020-09-03T15:53:51Z', '2020-09-03T15:53:53Z', '2020-09-03T15:54:24Z', '2020-09-03T15:54:24Z', 33.0)
('vfx-1', '2020-09-03T15:53:52Z', '2020-09-03T15:53:59Z', '2020-09-03T15:54:33Z', '2020-09-03T15:54:33Z', 41.0)
('vfx-2', '2020-09-03T15:53:53Z', '2020-09-03T15:53:59Z', '2020-09-03T15:54:33Z', '2020-09-03T15:54:33Z', 40.0)
('vfx-3', '2020-09-03T15:53:54Z', '2020-09-03T15:53:59Z', '2020-09-03T15:54:33Z', '2020-09-03T15:54:33Z', 39.0)
('color', '2020-09-03T15:53:56Z', '2020-09-03T15:54:01Z', '2020-09-03T15:54:29Z', '2020-09-03T15:54:29Z', 33.0)
('sound', '2020-09-03T15:53:58Z', '2020-09-03T15:54:08Z', '2020-09-03T15:54:38Z', '2020-09-03T15:54:38Z', 40.0)
('hdr', '2020-09-03T15:54:00Z', '2020-09-03T15:54:07Z', '2020-09-03T15:54:38Z', '2020-09-03T15:54:38Z', 38.0)
('owner', '2020-09-03T15:57:04Z', '2020-09-03T15:57:06Z', '2020-09-03T15:57:10Z', '2020-09-03T15:57:10Z', 6.0)
('vfx-1', '2020-09-03T15:57:07Z', '2020-09-03T15:57:10Z', '2020-09-03T15:57:13Z', '2020-09-03T15:57:13Z', 6.0)
('vfx-2', '2020-09-03T15:57:42Z', '2020-09-03T15:57:44Z', '2020-09-03T15:57:47Z', '2020-09-03T15:57:47Z', 5.0)
('vfx-3', '2020-09-03T15:58:20Z', '2020-09-03T15:58:22Z', '2020-09-03T15:58:25Z', '2020-09-03T15:58:25Z', 5.0)
('color', '2020-09-03T15:59:00Z', '2020-09-03T15:59:02Z', '2020-09-03T15:59:05Z', '2020-09-03T15:59:05Z', 5.0)
('sound', '2020-09-03T15:59:44Z', '2020-09-03T15:59:45Z', '2020-09-03T15:59:49Z', '2020-09-03T15:59:49Z', 5.0)
('hdr', '2020-09-03T16:00:26Z', '2020-09-03T16:00:28Z', '2020-09-03T16:00:33Z', '2020-09-03T16:00:33Z', 7.0)
('owner', '2020-09-03T16:01:54Z', '2020-09-03T16:01:56Z', '2020-09-03T16:02:01Z', '2020-09-03T16:02:01Z', 7.0)
('vfx-1', '2020-09-03T16:01:58Z', '2020-09-03T16:01:59Z', '2020-09-03T16:02:04Z', '2020-09-03T16:02:04Z', 6.0)
('vfx-2', '2020-09-03T16:02:32Z', '2020-09-03T16:02:34Z', '2020-09-03T16:02:38Z', '2020-09-03T16:02:38Z', 6.0)
('vfx-3', '2020-09-03T16:03:10Z', '2020-09-03T16:03:11Z', '2020-09-03T16:03:15Z', '2020-09-03T16:03:15Z', 5.0)
('color', '2020-09-03T16:03:45Z', '2020-09-03T16:03:47Z', '2020-09-03T16:03:50Z', '2020-09-03T16:03:50Z', 5.0)
('sound', '2020-09-03T16:04:25Z', '2020-09-03T16:04:26Z', '2020-09-03T16:04:31Z', '2020-09-03T16:04:31Z', 6.0)
('hdr', '2020-09-03T16:05:07Z', '2020-09-03T16:05:08Z', '2020-09-03T16:05:13Z', '2020-09-03T16:05:13Z', 6.0)
('owner', '2020-09-03T16:06:24Z', '2020-09-03T16:06:27Z', '2020-09-03T16:06:30Z', '2020-09-03T16:06:30Z', 6.0)
('vfx-1', '2020-09-03T16:06:28Z', '2020-09-03T16:06:30Z', '2020-09-03T16:06:33Z', '2020-09-03T16:06:33Z', 5.0)
('vfx-2', '2020-09-03T16:07:10Z', '2020-09-03T16:07:12Z', '2020-09-03T16:07:15Z', '2020-09-03T16:07:15Z', 5.0)
('vfx-3', '2020-09-03T16:07:50Z', '2020-09-03T16:07:52Z', '2020-09-03T16:07:55Z', '2020-09-03T16:07:55Z', 5.0)
('color', '2020-09-03T16:08:30Z', '2020-09-03T16:08:32Z', '2020-09-03T16:08:36Z', '2020-09-03T16:08:36Z', 6.0)
('sound', '2020-09-03T16:09:14Z', '2020-09-03T16:09:15Z', '2020-09-03T16:09:20Z', '2020-09-03T16:09:20Z', 6.0)
