('owner', '2020-06-10T22:47:08Z', '2020-06-10T22:47:11Z', '2020-06-10T22:47:15Z', '2020-06-10T22:47:15Z', 7.0)
('vfx-1', '2020-06-10T22:49:36Z', '2020-06-10T22:49:39Z', '2020-06-10T22:49:43Z', '2020-06-10T22:49:43Z', 7.0)
('vfx-2', '2020-06-10T22:50:58Z', '2020-06-10T22:51:01Z', '2020-06-10T22:51:06Z', '2020-06-10T22:51:06Z', 8.0)
('vfx-3', '2020-06-10T22:51:38Z', '2020-06-10T22:51:41Z', '2020-06-10T22:51:46Z', '2020-06-10T22:51:46Z', 8.0)
('color', '2020-06-10T22:41:43Z', '2020-06-10T22:41:45Z', '2020-06-10T22:41:50Z', '2020-06-10T22:41:50Z', 7.0)
('sound', '2020-06-10T22:47:09Z', '2020-06-10T22:47:12Z', '2020-06-10T22:47:17Z', '2020-06-10T22:47:17Z', 8.0)
('hdr', '2020-06-10T22:42:32Z', '2020-06-10T22:42:35Z', '2020-06-10T22:42:39Z', '2020-06-10T22:42:39Z', 7.0)
('owner', '2020-06-10T22:53:11Z', '2020-06-10T22:53:13Z', '2020-06-10T22:53:18Z', '2020-06-10T22:53:18Z', 7.0)
('vfx-1', '2020-06-10T22:53:14Z', '2020-06-10T22:53:17Z', '2020-06-10T22:53:23Z', '2020-06-10T22:53:23Z', 9.0)
('vfx-2', '2020-06-10T22:53:51Z', '2020-06-10T22:53:53Z', '2020-06-10T22:53:58Z', '2020-06-10T22:53:58Z', 7.0)
('vfx-3', '2020-06-10T22:54:26Z', '2020-06-10T22:54:28Z', '2020-06-10T22:54:33Z', '2020-06-10T22:54:33Z', 7.0)
('color', '2020-06-10T22:55:11Z', '2020-06-10T22:55:14Z', '2020-06-10T22:55:19Z', '2020-06-10T22:55:19Z', 8.0)
('sound', '2020-06-10T22:55:55Z', '2020-06-10T22:55:57Z', '2020-06-10T22:56:03Z', '2020-06-10T22:56:03Z', 8.0)
('hdr', '2020-06-10T22:56:39Z', '2020-06-10T22:56:41Z', '2020-06-10T22:56:47Z', '2020-06-10T22:56:47Z', 8.0)
('owner', '2020-06-10T22:57:55Z', '2020-06-10T22:57:57Z', '2020-06-10T22:58:02Z', '2020-06-10T22:58:02Z', 7.0)
('vfx-1', '2020-06-10T22:57:59Z', '2020-06-10T22:58:02Z', '2020-06-10T22:58:06Z', '2020-06-10T22:58:06Z', 7.0)
('vfx-2', '2020-06-10T22:58:42Z', '2020-06-10T22:58:44Z', '2020-06-10T22:58:49Z', '2020-06-10T22:58:49Z', 7.0)
('vfx-3', '2020-06-10T22:59:21Z', '2020-06-10T22:59:24Z', '2020-06-10T22:59:28Z', '2020-06-10T22:59:28Z', 7.0)
('color', '2020-06-10T22:59:56Z', '2020-06-10T22:59:59Z', '2020-06-10T23:00:04Z', '2020-06-10T23:00:04Z', 8.0)
('sound', '2020-06-10T23:00:35Z', '2020-06-10T23:00:37Z', '2020-06-10T23:00:42Z', '2020-06-10T23:00:42Z', 7.0)
('hdr', '2020-06-10T23:01:11Z', '2020-06-10T23:01:14Z', '2020-06-10T23:01:20Z', '2020-06-10T23:01:20Z', 9.0)
('owner', '2020-06-10T23:02:28Z', '2020-06-10T23:02:31Z', '2020-06-10T23:02:36Z', '2020-06-10T23:02:36Z', 8.0)
('vfx-1', '2020-06-10T23:02:33Z', '2020-06-10T23:02:36Z', '2020-06-10T23:02:39Z', '2020-06-10T23:02:39Z', 6.0)
('vfx-2', '2020-06-10T23:03:08Z', '2020-06-10T23:03:10Z', '2020-06-10T23:03:15Z', '2020-06-10T23:03:15Z', 7.0)
('vfx-3', '2020-06-10T23:03:44Z', '2020-06-10T23:03:46Z', '2020-06-10T23:03:52Z', '2020-06-10T23:03:52Z', 8.0)
('color', '2020-06-10T23:04:22Z', '2020-06-10T23:04:24Z', '2020-06-10T23:04:28Z', '2020-06-10T23:04:28Z', 6.0)
('sound', '2020-06-10T23:05:06Z', '2020-06-10T23:05:08Z', '2020-06-10T23:05:14Z', '2020-06-10T23:05:14Z', 8.0)
('hdr', '2020-06-10T23:05:50Z', '2020-06-10T23:05:52Z', '2020-06-10T23:05:57Z', '2020-06-10T23:05:57Z', 7.0)
('owner', '2020-06-10T23:07:08Z', '2020-06-10T23:07:11Z', '2020-06-10T23:07:15Z', '2020-06-10T23:07:15Z', 7.0)
('vfx-1', '2020-06-10T23:07:12Z', '2020-06-10T23:07:14Z', '2020-06-10T23:07:20Z', '2020-06-10T23:07:20Z', 8.0)
('vfx-2', '2020-06-10T23:07:51Z', '2020-06-10T23:07:54Z', '2020-06-10T23:07:58Z', '2020-06-10T23:07:58Z', 7.0)
('vfx-3', '2020-06-10T23:08:31Z', '2020-06-10T23:08:34Z', '2020-06-10T23:08:38Z', '2020-06-10T23:08:38Z', 7.0)
('color', '2020-06-10T23:09:11Z', '2020-06-10T23:09:14Z', '2020-06-10T23:09:18Z', '2020-06-10T23:09:18Z', 7.0)
('sound', '2020-06-10T23:09:55Z', '2020-06-10T23:09:57Z', '2020-06-10T23:10:01Z', '2020-06-10T23:10:01Z', 6.0)
('hdr', '2020-06-10T23:10:31Z', '2020-06-10T23:10:34Z', '2020-06-10T23:10:40Z', '2020-06-10T23:10:40Z', 9.0)
('owner', '2020-06-10T23:11:48Z', '2020-06-10T23:11:51Z', '2020-06-10T23:11:57Z', '2020-06-10T23:11:57Z', 9.0)
('vfx-1', '2020-06-10T23:11:52Z', '2020-06-10T23:11:54Z', '2020-06-10T23:11:58Z', '2020-06-10T23:11:58Z', 6.0)
('vfx-2', '2020-06-10T23:12:31Z', '2020-06-10T23:12:33Z', '2020-06-10T23:12:38Z', '2020-06-10T23:12:38Z', 7.0)
('vfx-3', '2020-06-10T23:13:07Z', '2020-06-10T23:13:09Z', '2020-06-10T23:13:13Z', '2020-06-10T23:13:13Z', 6.0)
('color', '2020-06-10T23:13:51Z', '2020-06-10T23:13:54Z', '2020-06-10T23:13:57Z', '2020-06-10T23:13:57Z', 6.0)
