('owner', '2020-06-10T16:46:09Z', '2020-06-10T16:46:11Z', '2020-06-10T16:46:15Z', '2020-06-10T16:46:15Z', 6.0)
('vfx-1', '2020-06-10T16:46:14Z', '2020-06-10T16:46:16Z', '2020-06-10T16:46:23Z', '2020-06-10T16:46:23Z', 9.0)
('vfx-2', '2020-06-10T16:46:51Z', '2020-06-10T16:46:54Z', '2020-06-10T16:46:58Z', '2020-06-10T16:46:58Z', 7.0)
('vfx-3', '2020-06-10T16:47:32Z', '2020-06-10T16:47:34Z', '2020-06-10T16:47:40Z', '2020-06-10T16:47:40Z', 8.0)
('color', '2020-06-10T16:48:12Z', '2020-06-10T16:48:14Z', '2020-06-10T16:48:21Z', '2020-06-10T16:48:21Z', 9.0)
('sound', '2020-06-10T16:48:56Z', '2020-06-10T16:48:58Z', '2020-06-10T16:49:05Z', '2020-06-10T16:49:05Z', 9.0)
('hdr', '2020-06-10T16:49:33Z', '2020-06-10T16:49:35Z', '2020-06-10T16:49:40Z', '2020-06-10T16:49:40Z', 7.0)
('owner', '2020-06-10T19:36:38Z', '2020-06-10T19:36:41Z', '2020-06-10T19:36:46Z', '2020-06-10T19:36:46Z', 8.0)
('vfx-1', '2020-06-10T19:36:42Z', '2020-06-10T19:36:45Z', '2020-06-10T19:36:51Z', '2020-06-10T19:36:51Z', 9.0)
('vfx-2', '2020-06-10T19:37:21Z', '2020-06-10T19:37:24Z', '2020-06-10T19:37:29Z', '2020-06-10T19:37:29Z', 8.0)
('vfx-3', '2020-06-10T19:38:02Z', '2020-06-10T19:38:05Z', '2020-06-10T19:38:11Z', '2020-06-10T19:38:11Z', 9.0)
('color', '2020-06-10T19:38:38Z', '2020-06-10T19:38:40Z', '2020-06-10T19:38:45Z', '2020-06-10T19:38:45Z', 7.0)
('sound', '2020-06-10T19:39:13Z', '2020-06-10T19:39:16Z', '2020-06-10T19:39:21Z', '2020-06-10T19:39:21Z', 8.0)
('hdr', '2020-06-10T19:39:49Z', '2020-06-10T19:39:51Z', '2020-06-10T19:39:58Z', '2020-06-10T19:39:58Z', 9.0)
('owner', '2020-06-10T21:34:33Z', '2020-06-10T21:34:35Z', '2020-06-10T21:34:40Z', '2020-06-10T21:34:40Z', 7.0)
('vfx-1', '2020-06-10T21:34:36Z', '2020-06-10T21:34:38Z', '2020-06-10T21:34:43Z', '2020-06-10T21:34:43Z', 7.0)
('vfx-2', '2020-06-10T21:35:21Z', '2020-06-10T21:35:24Z', '2020-06-10T21:35:29Z', '2020-06-10T21:35:29Z', 8.0)
('vfx-3', '2020-06-10T21:36:01Z', '2020-06-10T21:36:04Z', '2020-06-10T21:36:09Z', '2020-06-10T21:36:09Z', 8.0)
('color', '2020-06-10T21:36:41Z', '2020-06-10T21:36:44Z', '2020-06-10T21:36:50Z', '2020-06-10T21:36:50Z', 9.0)
('sound', '2020-06-10T21:37:17Z', '2020-06-10T21:37:19Z', '2020-06-10T21:37:24Z', '2020-06-10T21:37:24Z', 7.0)
('hdr', '2020-06-10T21:37:53Z', '2020-06-10T21:37:55Z', '2020-06-10T21:38:01Z', '2020-06-10T21:38:01Z', 8.0)
('owner', '2020-06-10T21:39:08Z', '2020-06-10T21:39:10Z', '2020-06-10T21:39:15Z', '2020-06-10T21:39:15Z', 7.0)
('vfx-1', '2020-06-10T21:39:12Z', '2020-06-10T21:39:15Z', '2020-06-10T21:39:19Z', '2020-06-10T21:39:19Z', 7.0)
('vfx-2', '2020-06-10T21:39:51Z', '2020-06-10T21:39:54Z', '2020-06-10T21:39:59Z', '2020-06-10T21:39:59Z', 8.0)
('vfx-3', '2020-06-10T21:40:31Z', '2020-06-10T21:40:33Z', '2020-06-10T21:40:40Z', '2020-06-10T21:40:40Z', 9.0)
('color', '2020-06-10T21:41:06Z', '2020-06-10T21:41:08Z', '2020-06-10T21:41:13Z', '2020-06-10T21:41:13Z', 7.0)
('sound', '2020-06-10T21:41:45Z', '2020-06-10T21:41:47Z', '2020-06-10T21:41:53Z', '2020-06-10T21:41:53Z', 8.0)
('hdr', '2020-06-10T21:42:21Z', '2020-06-10T21:42:24Z', '2020-06-10T21:42:30Z', '2020-06-10T21:42:30Z', 9.0)
('owner', '2020-06-10T21:43:35Z', '2020-06-10T21:43:37Z', '2020-06-10T21:43:43Z', '2020-06-10T21:43:43Z', 8.0)
('vfx-1', '2020-06-10T21:43:40Z', '2020-06-10T21:43:42Z', '2020-06-10T21:43:47Z', '2020-06-10T21:43:47Z', 7.0)
